owner,edited,score,creation_date,post_id,comment_id,content_license
"{'account_id': 27762, 'reputation': 25847, 'user_id': 73603, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/99b20bf45fb125f220ad1c1a76c69514?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'viam0Zah', 'link': 'https://stackoverflow.com/users/73603/viam0zah'}",False,801,01-05-2011,94049,6716929,CC BY-SA 3.0
"{'account_id': 42143, 'reputation': 168372, 'user_id': 122718, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/213Kw.png?s=256&g=1', 'display_name': 'usr', 'link': 'https://stackoverflow.com/users/122718/usr'}",False,801,24-10-2012,149099,17726234,CC BY-SA 3.0
"{'account_id': 144754, 'reputation': 708, 'user_id': 354047, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/SRhPB.png?s=256&g=1', 'display_name': 'Chris Ward', 'link': 'https://stackoverflow.com/users/354047/chris-ward'}",False,790,06-02-2012,5841297,11515694,CC BY-SA 3.0
"{'account_id': 37396, 'reputation': 15343, 'user_id': 106906, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/d246a4b19295137980d6c6f831eba665?s=256&d=identicon&r=PG', 'display_name': 'Dogweather', 'link': 'https://stackoverflow.com/users/106906/dogweather'}",False,787,16-01-2016,4158763,57394576,CC BY-SA 3.0
"{'account_id': 28546, 'reputation': 5923, 'user_id': 76349, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/dkqrz.png?s=256&g=1', 'display_name': 'Eric Grange', 'link': 'https://stackoverflow.com/users/76349/eric-grange'}",False,785,08-06-2010,370967,3059554,CC BY-SA 2.5
"{'account_id': 523757, 'reputation': 58581, 'user_id': 3141234, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/78b45a835031f4ce03a6653b3262b5d3?s=256&d=identicon&r=PG', 'display_name': 'Alexander', 'link': 'https://stackoverflow.com/users/3141234/alexander'}",False,785,14-07-2014,7106012,38360948,CC BY-SA 3.0
"{'account_id': 250828, 'reputation': 8958, 'user_id': 527776, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/kKPEM.jpg?s=256&g=1', 'display_name': 'Larry Battle', 'link': 'https://stackoverflow.com/users/527776/larry-battle'}",False,774,12-06-2012,1986896,14359320,CC BY-SA 3.0
"{'account_id': 56592, 'reputation': 2505, 'user_id': 169545, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/055c47019b27276a208db0417b700157?s=256&d=identicon&r=PG', 'display_name': 'Michel Gokan Khan', 'link': 'https://stackoverflow.com/users/169545/michel-gokan-khan'}",False,758,03-01-2010,1995156,1913148,CC BY-SA 2.5
"{'account_id': 2193082, 'reputation': 8074, 'user_id': 1939564, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/a4INA.jpg?s=256&g=1', 'display_name': 'Muhammad Babar', 'link': 'https://stackoverflow.com/users/1939564/muhammad-babar'}",False,756,21-03-2014,1662088,34322247,CC BY-SA 3.0
"{'account_id': 13519, 'reputation': 4051, 'user_id': 27225, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/200299556835349ece7f8cc8cf56b88f?s=256&d=identicon&r=PG', 'display_name': 'guinaps', 'link': 'https://stackoverflow.com/users/27225/guinaps'}",False,733,10-02-2011,264037,5533096,CC BY-SA 2.5
"{'account_id': 15433, 'reputation': 1513, 'user_id': 32584, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/b1e7b27f21482b852d2f5a1784a862aa?s=256&d=identicon&r=PG', 'display_name': 'Steve L', 'link': 'https://stackoverflow.com/users/32584/steve-l'}",False,724,11-09-2018,14132789,91509486,CC BY-SA 4.0
"{'account_id': 2504802, 'reputation': 17591, 'user_id': 3830997, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Lg47I.png?s=256&g=1', 'display_name': 'Matthias Fripp', 'link': 'https://stackoverflow.com/users/3830997/matthias-fripp'}",False,719,23-05-2017,231855,75308701,CC BY-SA 3.0
"{'account_id': 182132, 'reputation': 2357, 'user_id': 416621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8eda3472f8309ea90d1f16989101dc93?s=256&d=identicon&r=PG', 'display_name': 'Ian Ni-Lewis', 'link': 'https://stackoverflow.com/users/416621/ian-ni-lewis'}",False,718,28-12-2011,630475,10748241,CC BY-SA 3.0
